auteur,quote,tags,born_date,author_born_location
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","be-yourself,inspirational","June 01, 1926",in The United States
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"adulthood,success,value","March 14, 1879","in Ulm, Germany"
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"life,love","November 22, 1869","in Paris, France"
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"inspirational,life,live,miracle,miracles","March 14, 1879","in Ulm, Germany"
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,misattributed-eleanor-roosevelt,"October 11, 1884",in The United States
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile","August 14, 1945","in Waco, Texas, The United States"
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor","December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"change,deep-thoughts,thinking,world","March 14, 1879","in Ulm, Germany"
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”","edison,failure,inspirational,paraphrased","February 11, 1847","in Milan, Ohio, The United States"
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","abilities,choices","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
