time,image_urls
2021-06-01T12:29:00+02:00,
2021-06-01T11:06:00+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/f/3/82e35f9e78e7e5f49c66b726505b5e3c-1622469914.jpg
2021-06-01T11:10:01+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/c/d/2/b3217cd5051ef045c646ab993b41f7bd938cc23c.jpg
2021-06-01T10:47:22+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/b/e/a/bf65417dcecc7f2b0006e1f5793b7143-1622536816.jpg
2021-05-31T16:36:05+02:00,
2021-05-31T16:42:00+02:00,
2021-05-31T15:55:25+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/1/b/f/1d55c8224fe968582640a9078ea32a98-1622469284.jpg
2021-05-31T16:09:49+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/f/5/9/5ebd4d5f57b1699003401695090a2683-1622470155.jpg
2021-05-31T16:18:04+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/3/c/0/17f5e6db87929fb55cebeb7fd58c1d41-1622470647.jpg
2021-05-31T16:34:19+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/7/e/b/d6f84c02e2a54908d96f410083beb6e0-1622471436.jpg
2021-05-31T16:47:32+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/a/7/91d0dbfd38d950cb716c4dd26c5da08a-1622472070.jpg
2021-05-31T16:59:14+02:00,
2021-05-31T16:53:26+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/8/e/2/pxy_113612528_113045342_640554_590164.jpg
2021-05-31T17:14:03+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/1/2/e/abc1e5541e0a59f82a5e87aef3413ca9-1622386335.jpg
2021-05-31T17:41:56+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/e/1/d/113614441_113046693_640554_623853.jpg
2021-05-31T17:48:46+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/e/e/3/c5c53759e4dd1bfe8b3dcfec37d0ea72-1622475710.jpg
2021-05-31T17:54:31+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/9/b/53c5b2affa12eed84dfec9bfd83550b1-1622476112.jpg
2021-05-31T17:23:14+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/0/3/6/7c220a2091c26a7f5e9f1cfb099511e3-1622474346.jpg
2021-05-31T18:27:09+02:00,
2021-05-31T17:08:53+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/3/4/a/7bad3bd3f0f97b500e337b6dd91746ca-1622473314.jpg
2021-05-31T18:17:33+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/a/2/6a1a681b16826ba2e48fedb229db3b65-1622477550.jpg
2021-05-31T18:34:26+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/e/7/9/98a98ed23fa5d058c9cd2808fff817e9-1622478284.jpg
2021-05-31T18:35:00+02:00,
2021-05-31T18:47:16+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/1/d/3/c3fffae4f3f1c0a53b384d860f62d4d6-1622479586.jpg
2021-05-31T18:43:54+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/6/0/b/97ffcbd95363387c7e371563057eb02f-1622478477.jpg
2021-05-31T18:48:06+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/4/1/3/6dfe08eda761bd321f8a9b239f6f4ec3-1622479673.jpg
2021-05-31T18:30:42+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/2/6/8/1d0932d7f57ce74d9d9931a2c6db8a06-1622478230.jpg
2021-05-31T18:09:40+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/2/8/6/ca3a856a28df7d77d948949206ff9fdf-1622477280.jpg
2021-05-31T19:04:49+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/8/1/b/c4aefe440ac4a492f6df7b2c7c2986b1-1622480596.jpg
2021-05-31T19:12:21+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/e/0/5/6213a8959a9a96589ca484dfd1e25053-1622477540.jpg
2021-05-31T19:32:54+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/8/c/6/edfbf6055b4fdde41789f5a19dfb2ee2-1622473518.jpg
